date,description,amount
2025-08-27,SWEETGREEN DTLA,24.35
2025-08-29,WHOLE FOODS MKT,136.68
2025-08-30,TRADER JOE'S #142,39.92
2025-08-31,LOCAL COFFEE CO,30.83
2025-08-31,LYFT *RIDE THU,11.29
2025-09-01,SAFEWAY #221,140.41
2025-09-02,PANERA BREAD #88,34.56
2025-09-03,GEICO INSURANCE,142.00
2025-09-03,CHIPOTLE 2214,18.20
2025-09-04,SPOTIFY USA,11.99
2025-09-04,LOCAL COFFEE CO,37.08
2025-09-06,TRADER JOE'S #142,38.02
2025-09-07,UBER *TRIP HELP.UBER.COM,20.30
2025-09-10,SQ *PLANET FITNESS #4021,24.99
2025-09-11,SAFEWAY #221,60.35
2025-09-13,WHOLE FOODS MKT,141.99
2025-09-13,LYFT *RIDE THU,13.36
2025-09-13,WALMART.COM,111.23
2025-09-14,PP*PELOTON INTERAKTIV,44.00
2025-09-14,TRADER JOE'S #142,140.96
2025-09-14,UBER *TRIP HELP.UBER.COM,20.22
2025-09-14,AMAZON.COM*A1B2C3,46.10
2025-09-15,SWEETGREEN DTLA,12.91
2025-09-16,CHEVRON 00219,45.69
2025-09-17,ADOBE CREATIVE CLOUD,54.99
2025-09-17,WHOLE FOODS MKT,99.33
2025-09-18,SHELL OIL 57443921,51.87
2025-09-18,LOCAL COFFEE CO,23.87
2025-09-19,WEGMANS #33,110.25
2025-09-21,OPENAI CHATGPT SUBSCRIPTION,20.00
2025-09-21,UBER *TRIP HELP.UBER.COM,29.23
2025-09-23,WEGMANS #33,86.56
2025-09-23,CHIPOTLE 2214,38.35
2025-09-24,TRADER JOE'S #142,140.54
2025-09-25,SWEETGREEN DTLA,24.53
2025-09-26,SAFEWAY #221,102.27
2025-09-26,STARBUCKS #4471,22.48
2025-09-27,SAFEWAY #221,109.16
2025-09-28,WEGMANS #33,57.53
2025-09-28,EXXON MOBIL 88213,63.14
2025-09-28,LYFT *RIDE THU,20.50
2025-09-29,NETFLIX.COM 866-579-7172,15.99
2025-09-29,SAFEWAY #221,101.17
2025-09-29,PANERA BREAD #88,13.32
2025-09-30,WHOLE FOODS MKT,141.86
2025-09-30,SWEETGREEN DTLA,19.25
2025-09-30,LYFT *RIDE THU,13.14
2025-10-01,SWEETGREEN DTLA,25.45
2025-10-02,SAFEWAY #221,142.69
2025-10-02,CHEVRON 00219,37.21
2025-10-02,PANERA BREAD #88,25.77
2025-10-03,SAFEWAY #221,67.77
2025-10-03,CHIPOTLE 2214,18.33
2025-10-04,GEICO INSURANCE,142.00
2025-10-04,PANERA BREAD #88,24.98
2025-10-05,SPOTIFY USA,11.99
2025-10-05,WEGMANS #33,129.74
2025-10-05,LOCAL COFFEE CO,16.71
2025-10-05,COSTCO WHSE #221,159.57
2025-10-07,WHOLE FOODS MKT,42.77
2025-10-07,CHIPOTLE 2214,37.85
2025-10-08,TRADER JOE'S #142,75.97
2025-10-08,LOCAL COFFEE CO,34.79
2025-10-09,WHOLE FOODS MKT,127.66
2025-10-10,UBER *TRIP HELP.UBER.COM,16.40
2025-10-11,SQ *PLANET FITNESS #4021,24.99
2025-10-11,TRADER JOE'S #142,115.37
2025-10-11,CHIPOTLE 2214,23.64
2025-10-12,WHOLE FOODS MKT,62.32
2025-10-12,PANERA BREAD #88,22.60
2025-10-13,SAFEWAY #221,100.51
2025-10-13,CHEVRON 00219,37.15
2025-10-14,SAFEWAY #221,133.44
2025-10-14,LOCAL COFFEE CO,40.19
2025-10-16,PP*PELOTON INTERAKTIV,44.00
2025-10-16,EXXON MOBIL 88213,52.59
2025-10-17,ADOBE CREATIVE CLOUD,54.99
2025-10-17,PANERA BREAD #88,37.55
2025-10-19,WEGMANS #33,53.62
2025-10-19,EXXON MOBIL 88213,56.40
2025-10-21,STARBUCKS #4471,19.78
2025-10-22,OPENAI CHATGPT SUBSCRIPTION,20.00
2025-10-23,SAFEWAY #221,141.18
2025-10-24,TRADER JOE'S #142,128.64
2025-10-25,SAFEWAY #221,29.63
2025-10-26,UBER *TRIP HELP.UBER.COM,21.84
2025-10-28,WEGMANS #33,103.96
2025-10-28,SHELL OIL 57443921,66.07
2025-10-28,LOCAL COFFEE CO,12.83
2025-10-29,NETFLIX.COM 866-579-7172,15.99
2025-10-29,WEGMANS #33,106.45
2025-10-30,NYT DIGITAL SUBSCRIPTION,51.00
2025-10-30,SAFEWAY #221,104.63
2025-10-31,EXXON MOBIL 88213,66.22
2025-10-31,LYFT *RIDE THU,23.52
2025-11-01,SAFEWAY #221,60.28
2025-11-01,TARGET 00034821,146.55
2025-11-02,GEICO INSURANCE,142.00
2025-11-02,EXXON MOBIL 88213,40.77
2025-11-02,PANERA BREAD #88,15.77
2025-11-03,SWEETGREEN DTLA,35.03
2025-11-05,SPOTIFY USA,11.99
2025-11-05,EXXON MOBIL 88213,60.44
2025-11-05,STARBUCKS #4471,9.52
2025-11-06,WHOLE FOODS MKT,115.24
2025-11-07,WHOLE FOODS MKT,113.09
2025-11-08,SAFEWAY #221,127.13
2025-11-08,LOCAL COFFEE CO,11.43
2025-11-08,UBER *TRIP HELP.UBER.COM,12.51
2025-11-09,SQ *PLANET FITNESS #4021,24.99
2025-11-09,PANERA BREAD #88,26.51
2025-11-10,WHOLE FOODS MKT,127.78
2025-11-11,TRADER JOE'S #142,76.42
2025-11-12,WEGMANS #33,71.79
2025-11-12,EXXON MOBIL 88213,34.42
2025-11-12,UBER *TRIP HELP.UBER.COM,28.13
2025-11-13,WHOLE FOODS MKT,96.62
2025-11-13,CHIPOTLE 2214,22.56
2025-11-14,WHOLE FOODS MKT,141.30
2025-11-15,PP*PELOTON INTERAKTIV,44.00
2025-11-15,SHELL OIL 57443921,44.60
2025-11-15,LYFT *RIDE THU,24.20
2025-11-17,WEGMANS #33,31.39
2025-11-18,ADOBE CREATIVE CLOUD,54.99
2025-11-18,TRADER JOE'S #142,94.26
2025-11-18,CHIPOTLE 2214,12.03
2025-11-19,TRADER JOE'S #142,71.30
2025-11-19,AMAZON.COM*A1B2C3,46.89
2025-11-20,SHELL OIL 57443921,41.80
2025-11-21,WHOLE FOODS MKT,68.39
2025-11-21,CHEVRON 00219,56.43
2025-11-21,COSTCO WHSE #221,216.81
2025-11-22,OPENAI CHATGPT SUBSCRIPTION,20.00
2025-11-22,TRADER JOE'S #142,63.27
2025-11-22,SHELL OIL 57443921,59.51
2025-11-22,CHIPOTLE 2214,9.26
2025-11-23,TRADER JOE'S #142,86.53
2025-11-23,UBER *TRIP HELP.UBER.COM,21.03
2025-11-24,WEGMANS #33,95.36
2025-11-25,WEGMANS #33,48.11
2025-11-26,WHOLE FOODS MKT,56.47
2025-11-27,NETFLIX.COM 866-579-7172,15.99
2025-11-27,WEGMANS #33,119.16
2025-11-27,CHEVRON 00219,36.10
2025-11-29,TRADER JOE'S #142,116.95
2025-11-29,LOCAL COFFEE CO,24.31
2025-12-02,LYFT *RIDE THU,21.39
2025-12-02,WALMART.COM,30.73
2025-12-04,GEICO INSURANCE,142.00
2025-12-05,SPOTIFY USA,11.99
2025-12-05,AMAZON.COM*A1B2C3,181.25
2025-12-06,SWEETGREEN DTLA,10.29
2025-12-07,TRADER JOE'S #142,70.58
2025-12-08,WEGMANS #33,35.71
2025-12-08,CHEVRON 00219,45.92
2025-12-08,PANERA BREAD #88,37.82
2025-12-09,SQ *PLANET FITNESS #4021,24.99
2025-12-09,WEGMANS #33,64.30
2025-12-09,UBER *TRIP HELP.UBER.COM,18.12
2025-12-12,TRADER JOE'S #142,139.29
2025-12-13,WEGMANS #33,126.80
2025-12-13,CHEVRON 00219,62.06
2025-12-13,LYFT *RIDE THU,31.16
2025-12-14,SHELL OIL 57443921,61.93
2025-12-15,PP*PELOTON INTERAKTIV,44.00
2025-12-15,SAFEWAY #221,70.62
2025-12-16,SHELL OIL 57443921,43.14
2025-12-17,SAFEWAY #221,82.02
2025-12-18,STARBUCKS #4471,10.72
2025-12-19,ADOBE CREATIVE CLOUD,54.99
2025-12-19,UBER *TRIP HELP.UBER.COM,28.55
2025-12-20,EXXON MOBIL 88213,35.30
2025-12-22,OPENAI CHATGPT SUBSCRIPTION,20.00
2025-12-22,TRADER JOE'S #142,31.30
2025-12-23,WEGMANS #33,135.34
2025-12-24,SWEETGREEN DTLA,36.55
2025-12-25,WHOLE FOODS MKT,118.81
2025-12-25,SHELL OIL 57443921,33.72
2025-12-26,SAFEWAY #221,97.82
2025-12-26,CHEVRON 00219,52.70
2025-12-26,WALMART.COM,64.32
2025-12-27,NETFLIX.COM 866-579-7172,15.99
2025-12-27,WHOLE FOODS MKT,89.25
2025-12-28,WHOLE FOODS MKT,73.68
2025-12-29,WHOLE FOODS MKT,68.34
2025-12-30,WHOLE FOODS MKT,69.22
2025-12-31,SWEETGREEN DTLA,11.08
2026-01-01,WHOLE FOODS MKT,120.56
2026-01-01,STARBUCKS #4471,26.01
2026-01-02,TRADER JOE'S #142,61.47
2026-01-02,STARBUCKS #4471,18.02
2026-01-03,SAFEWAY #221,132.67
2026-01-04,SPOTIFY USA,11.99
2026-01-04,GEICO INSURANCE,142.00
2026-01-04,TARGET 00034821,126.82
2026-01-05,WHOLE FOODS MKT,66.37
2026-01-06,SAFEWAY #221,32.96
2026-01-07,LOCAL COFFEE CO,20.99
2026-01-08,CHEVRON 00219,56.41
2026-01-08,UBER *TRIP HELP.UBER.COM,28.91
2026-01-09,WHOLE FOODS MKT,98.80
2026-01-11,SQ *PLANET FITNESS #4021,24.99
2026-01-11,TRADER JOE'S #142,86.39
2026-01-12,WEGMANS #33,109.20
2026-01-12,SWEETGREEN DTLA,37.14
2026-01-13,WHOLE FOODS MKT,122.83
2026-01-14,WEGMANS #33,132.29
2026-01-15,SWEETGREEN DTLA,35.14
2026-01-16,PP*PELOTON INTERAKTIV,44.00
2026-01-16,WEGMANS #33,82.69
2026-01-16,CHIPOTLE 2214,11.17
2026-01-17,ADOBE CREATIVE CLOUD,54.99
2026-01-17,SAFEWAY #221,117.99
2026-01-17,STARBUCKS #4471,30.20
2026-01-18,TRADER JOE'S #142,117.83
2026-01-18,CHEVRON 00219,64.79
2026-01-18,CHIPOTLE 2214,26.10
2026-01-19,CHEVRON 00219,64.22
2026-01-20,EXXON MOBIL 88213,54.12
2026-01-20,SWEETGREEN DTLA,28.53
2026-01-21,PANERA BREAD #88,10.36
2026-01-21,WALMART.COM,148.48
2026-01-23,OPENAI CHATGPT SUBSCRIPTION,20.00
2026-01-23,WEGMANS #33,84.50
2026-01-23,AMAZON.COM*A1B2C3,47.41
2026-01-24,SAFEWAY #221,51.87
2026-01-24,STARBUCKS #4471,33.23
2026-01-25,WEGMANS #33,88.25
2026-01-25,SHELL OIL 57443921,48.79
2026-01-25,SWEETGREEN DTLA,13.65
2026-01-25,LYFT *RIDE THU,30.88
2026-01-27,NETFLIX.COM 866-579-7172,15.99
2026-01-27,TRADER JOE'S #142,86.30
2026-01-27,COSTCO WHSE #221,118.62
2026-01-28,EXXON MOBIL 88213,33.75
2026-01-28,PANERA BREAD #88,38.12
2026-01-29,NYT DIGITAL SUBSCRIPTION,51.00
2026-01-29,WHOLE FOODS MKT,78.42
2026-01-30,TRADER JOE'S #142,70.42
2026-01-31,UBER *TRIP HELP.UBER.COM,20.06
2026-02-01,WEGMANS #33,116.33
2026-02-01,CHEVRON 00219,46.45
2026-02-01,CHIPOTLE 2214,13.52
2026-02-02,TRADER JOE'S #142,66.37
2026-02-02,PANERA BREAD #88,33.40
2026-02-03,GEICO INSURANCE,142.00
2026-02-04,WHOLE FOODS MKT,142.65
2026-02-05,SAFEWAY #221,59.07
2026-02-06,SPOTIFY USA,11.99
2026-02-06,SAFEWAY #221,47.95
2026-02-07,CHEVRON 00219,35.96
2026-02-07,STARBUCKS #4471,22.82
2026-02-08,SAFEWAY #221,130.12
2026-02-08,SWEETGREEN DTLA,26.12
2026-02-09,SAFEWAY #221,64.71
2026-02-09,CHEVRON 00219,44.32
2026-02-11,SQ *PLANET FITNESS #4021,24.99
2026-02-11,EXXON MOBIL 88213,59.76
2026-02-12,WEGMANS #33,61.67
2026-02-13,TRADER JOE'S #142,61.98
2026-02-14,SAFEWAY #221,53.04
2026-02-14,PANERA BREAD #88,31.97
2026-02-14,UBER *TRIP HELP.UBER.COM,16.58
2026-02-15,PP*PELOTON INTERAKTIV,44.00
2026-02-15,TRADER JOE'S #142,34.14
2026-02-15,UBER *TRIP HELP.UBER.COM,11.12
2026-02-17,ADOBE CREATIVE CLOUD,54.99
2026-02-17,WEGMANS #33,65.58
2026-02-17,UBER *TRIP HELP.UBER.COM,23.31
2026-02-18,SWEETGREEN DTLA,39.82
2026-02-18,LYFT *RIDE THU,29.12
2026-02-19,CHIPOTLE 2214,9.31
2026-02-21,OPENAI CHATGPT SUBSCRIPTION,20.00
2026-02-22,SAFEWAY #221,103.85
2026-02-22,STARBUCKS #4471,35.10
2026-02-23,SAFEWAY #221,124.76
2026-02-23,CHIPOTLE 2214,15.10
2026-02-23,LYFT *RIDE THU,32.52
2026-02-23,COSTCO WHSE #221,63.28
2026-02-24,PANERA BREAD #88,9.38
2026-02-25,WHOLE FOODS MKT,82.45
2026-02-25,CHEVRON 00219,50.09
2026-02-26,WEGMANS #33,71.00
2026-02-26,SHELL OIL 57443921,49.21
2026-03-01,NETFLIX.COM 866-579-7172,15.99
2026-03-01,WEGMANS #33,37.14
2026-03-01,PANERA BREAD #88,38.80
2026-03-02,SAFEWAY #221,41.60
2026-03-02,CHEVRON 00219,49.60
2026-03-02,TARGET 00034821,120.22
2026-03-03,WHOLE FOODS MKT,93.38
2026-03-03,CHIPOTLE 2214,22.07
2026-03-04,GEICO INSURANCE,142.00
2026-03-04,EXXON MOBIL 88213,57.21
2026-03-04,UBER *TRIP HELP.UBER.COM,33.68
2026-03-05,SPOTIFY USA,11.99
2026-03-05,TRADER JOE'S #142,117.97
2026-03-08,SAFEWAY #221,89.87
2026-03-08,CHIPOTLE 2214,33.95
2026-03-10,TRADER JOE'S #142,137.68
2026-03-10,LOCAL COFFEE CO,29.29
2026-03-11,SQ *PLANET FITNESS #4021,24.99
2026-03-11,WHOLE FOODS MKT,39.80
2026-03-11,CHEVRON 00219,56.19
2026-03-11,COSTCO WHSE #221,63.04
2026-03-12,WHOLE FOODS MKT,44.40
2026-03-12,PANERA BREAD #88,19.52
2026-03-13,WEGMANS #33,130.52
2026-03-15,EXXON MOBIL 88213,65.90
2026-03-16,PP*PELOTON INTERAKTIV,44.00
2026-03-16,TRADER JOE'S #142,63.09
2026-03-16,CHEVRON 00219,49.05
2026-03-18,TRADER JOE'S #142,57.83
2026-03-18,LOCAL COFFEE CO,36.96
2026-03-18,UBER *TRIP HELP.UBER.COM,12.19
2026-03-19,ADOBE CREATIVE CLOUD,54.99
2026-03-19,SHELL OIL 57443921,38.77
2026-03-20,WEGMANS #33,63.47
2026-03-20,SWEETGREEN DTLA,40.75
2026-03-20,LYFT *RIDE THU,32.03
2026-03-21,OPENAI CHATGPT SUBSCRIPTION,20.00
2026-03-21,STARBUCKS #4471,34.59
2026-03-22,WEGMANS #33,70.08
2026-03-23,STARBUCKS #4471,22.66
2026-03-24,WEGMANS #33,92.74
2026-03-25,TRADER JOE'S #142,86.42
2026-03-27,NETFLIX.COM 866-579-7172,15.99
2026-03-27,SAFEWAY #221,49.53
2026-03-28,CHEVRON 00219,33.75
2026-03-28,SWEETGREEN DTLA,36.80
2026-03-29,SAFEWAY #221,71.66
2026-03-30,WHOLE FOODS MKT,90.27
2026-03-30,STARBUCKS #4471,26.68
2026-04-01,TRADER JOE'S #142,50.46
2026-04-02,SAFEWAY #221,81.70
2026-04-02,CHEVRON 00219,40.13
2026-04-03,LOCAL COFFEE CO,21.45
2026-04-04,GEICO INSURANCE,142.00
2026-04-04,EXXON MOBIL 88213,55.22
2026-04-04,CHIPOTLE 2214,38.53
2026-04-05,SPOTIFY USA,11.99
2026-04-07,SHELL OIL 57443921,53.13
2026-04-08,TRADER JOE'S #142,93.98
2026-04-09,TRADER JOE'S #142,120.49
2026-04-09,STARBUCKS #4471,10.77
2026-04-10,SAFEWAY #221,141.36
2026-04-11,SQ *PLANET FITNESS #4021,24.99
2026-04-11,SAFEWAY #221,78.53
2026-04-11,LYFT *RIDE THU,29.36
2026-04-12,TRADER JOE'S #142,72.46
2026-04-12,LOCAL COFFEE CO,19.45
2026-04-12,UBER *TRIP HELP.UBER.COM,32.69
2026-04-13,SHELL OIL 57443921,38.75
2026-04-14,WEGMANS #33,92.84
2026-04-14,COSTCO WHSE #221,94.50
2026-04-15,PP*PELOTON INTERAKTIV,44.00
2026-04-15,TRADER JOE'S #142,94.92
2026-04-15,EXXON MOBIL 88213,38.10
2026-04-15,STARBUCKS #4471,25.27
2026-04-15,LYFT *RIDE THU,17.35
2026-04-17,CHIPOTLE 2214,40.31
2026-04-18,PANERA BREAD #88,13.49
2026-04-19,ADOBE CREATIVE CLOUD,54.99
2026-04-19,WEGMANS #33,48.78
2026-04-19,LOCAL COFFEE CO,40.94
2026-04-20,SAFEWAY #221,70.71
2026-04-20,PANERA BREAD #88,14.94
2026-04-20,COSTCO WHSE #221,208.31
2026-04-21,WEGMANS #33,125.26
2026-04-21,EXXON MOBIL 88213,56.23
2026-04-21,STARBUCKS #4471,16.99
2026-04-22,CHEVRON 00219,49.25
2026-04-23,OPENAI CHATGPT SUBSCRIPTION,20.00
2026-04-24,WHOLE FOODS MKT,40.80
2026-04-24,CHEVRON 00219,44.78
2026-04-24,LYFT *RIDE THU,33.24
2026-04-25,SHELL OIL 57443921,41.31
2026-04-27,WEGMANS #33,144.73
2026-04-27,CHIPOTLE 2214,12.83
2026-04-28,SAFEWAY #221,119.76
2026-04-28,CHIPOTLE 2214,23.46
2026-04-29,NETFLIX.COM 866-579-7172,15.99
2026-04-29,NYT DIGITAL SUBSCRIPTION,51.00
2026-04-29,WHOLE FOODS MKT,30.64
2026-04-29,SWEETGREEN DTLA,39.69
2026-05-01,CHEVRON 00219,47.56
2026-05-01,PANERA BREAD #88,38.14
2026-05-02,TRADER JOE'S #142,52.08
2026-05-02,UBER *TRIP HELP.UBER.COM,29.39
2026-05-03,GEICO INSURANCE,142.00
2026-05-03,TRADER JOE'S #142,81.53
2026-05-06,SPOTIFY USA,11.99
2026-05-06,TRADER JOE'S #142,64.64
2026-05-06,SHELL OIL 57443921,38.59
2026-05-07,SAFEWAY #221,77.50
2026-05-08,TRADER JOE'S #142,85.29
2026-05-08,EXXON MOBIL 88213,62.31
2026-05-09,TRADER JOE'S #142,123.38
2026-05-10,SQ *PLANET FITNESS #4021,24.99
2026-05-10,SAFEWAY #221,85.18
2026-05-10,SHELL OIL 57443921,60.65
2026-05-10,CHIPOTLE 2214,18.07
2026-05-11,SAFEWAY #221,92.32
2026-05-11,SHELL OIL 57443921,41.64
2026-05-13,CHIPOTLE 2214,23.84
2026-05-14,WHOLE FOODS MKT,118.75
2026-05-14,CHEVRON 00219,53.17
2026-05-15,PP*PELOTON INTERAKTIV,44.00
2026-05-15,TRADER JOE'S #142,119.83
2026-05-16,CHEVRON 00219,42.53
2026-05-17,ADOBE CREATIVE CLOUD,54.99
2026-05-17,LOCAL COFFEE CO,39.32
2026-05-18,TRADER JOE'S #142,57.21
2026-05-19,WEGMANS #33,101.45
2026-05-19,CHIPOTLE 2214,22.29
2026-05-21,EXXON MOBIL 88213,54.85
2026-05-22,SAFEWAY #221,124.51
2026-05-22,STARBUCKS #4471,20.15
2026-05-23,OPENAI CHATGPT SUBSCRIPTION,20.00
2026-05-23,WEGMANS #33,132.62
2026-05-23,LOCAL COFFEE CO,9.54
2026-05-24,SAFEWAY #221,51.67
2026-05-24,STARBUCKS #4471,14.25
2026-05-26,WEGMANS #33,112.94
2026-05-26,UBER *TRIP HELP.UBER.COM,11.02
2026-05-27,NETFLIX.COM 866-579-7172,15.99
2026-05-27,TRADER JOE'S #142,88.77
2026-05-27,STARBUCKS #4471,35.96
2026-05-28,WHOLE FOODS MKT,54.79
2026-05-28,SHELL OIL 57443921,35.72
2026-05-29,AMAZON.COM*A1B2C3,140.12
2026-05-30,WEGMANS #33,112.52
2026-05-30,LOCAL COFFEE CO,29.33
2026-05-31,SHELL OIL 57443921,53.22
2026-06-01,WEGMANS #33,103.42
2026-06-01,CHEVRON 00219,53.60
2026-06-02,PANERA BREAD #88,29.03
2026-06-04,GEICO INSURANCE,142.00
2026-06-04,WHOLE FOODS MKT,89.81
2026-06-05,SPOTIFY USA,11.99
2026-06-06,CHIPOTLE 2214,9.46
2026-06-07,PANERA BREAD #88,34.31
2026-06-08,CHIPOTLE 2214,19.23
2026-06-10,CHEVRON 00219,47.75
2026-06-11,SQ *PLANET FITNESS #4021,24.99
2026-06-11,CHEVRON 00219,53.92
2026-06-11,SWEETGREEN DTLA,12.94
2026-06-12,WEGMANS #33,89.19
2026-06-13,COSTCO WHSE #221,70.76
2026-06-14,WHOLE FOODS MKT,86.05
2026-06-14,PANERA BREAD #88,14.51
2026-06-15,PP*PELOTON INTERAKTIV,44.00
2026-06-15,PANERA BREAD #88,9.08
2026-06-15,AMAZON.COM*A1B2C3,111.71
2026-06-16,TRADER JOE'S #142,48.94
2026-06-16,LOCAL COFFEE CO,16.41
2026-06-17,WHOLE FOODS MKT,94.87
2026-06-17,CHEVRON 00219,64.47
2026-06-17,PANERA BREAD #88,41.39
2026-06-17,COSTCO WHSE #221,192.54
2026-06-18,ADOBE CREATIVE CLOUD,54.99
2026-06-18,LOCAL COFFEE CO,9.26
2026-06-19,TRADER JOE'S #142,82.28
2026-06-20,CHIPOTLE 2214,39.77
2026-06-20,LYFT *RIDE THU,25.63
2026-06-21,WEGMANS #33,28.17
2026-06-22,OPENAI CHATGPT SUBSCRIPTION,20.00
2026-06-22,TRADER JOE'S #142,77.12
2026-06-22,LYFT *RIDE THU,13.14
2026-06-24,WHOLE FOODS MKT,87.14
2026-06-24,TARGET 00034821,63.54
2026-06-25,WEGMANS #33,136.35
2026-06-26,TRADER JOE'S #142,43.93
2026-06-26,CHIPOTLE 2214,14.42
2026-06-27,TRADER JOE'S #142,80.87
2026-06-27,LYFT *RIDE THU,30.01
2026-06-28,NETFLIX.COM 866-579-7172,15.99
2026-06-28,WEGMANS #33,45.35
2026-06-28,WALMART.COM,68.33
2026-06-29,EXXON MOBIL 88213,62.77
2026-06-29,AMAZON.COM*A1B2C3,179.80
2026-06-30,WHOLE FOODS MKT,35.22
2026-06-30,SWEETGREEN DTLA,36.18
2026-07-01,CHIPOTLE 2214,9.72
2026-07-01,LYFT *RIDE THU,29.61
2026-07-01,WALMART.COM,40.12
2026-07-02,CHEVRON 00219,47.59
2026-07-03,GEICO INSURANCE,142.00
2026-07-03,WEGMANS #33,53.12
2026-07-03,EXXON MOBIL 88213,48.06
2026-07-03,PANERA BREAD #88,29.43
2026-07-04,SAFEWAY #221,35.13
2026-07-04,SWEETGREEN DTLA,30.21
2026-07-05,LOCAL COFFEE CO,34.80
2026-07-06,SPOTIFY USA,11.99
2026-07-06,WEGMANS #33,73.44
2026-07-06,EXXON MOBIL 88213,53.50
2026-07-06,STARBUCKS #4471,10.93
2026-07-07,UBER *TRIP HELP.UBER.COM,17.13
2026-07-08,SHELL OIL 57443921,52.72
2026-07-09,SQ *PLANET FITNESS #4021,24.99
2026-07-09,SHELL OIL 57443921,53.33
2026-07-10,WEGMANS #33,138.86
2026-07-11,LOCAL COFFEE CO,10.25
2026-07-11,UBER *TRIP HELP.UBER.COM,11.46
2026-07-12,TRADER JOE'S #142,122.35
2026-07-12,STARBUCKS #4471,10.97
